ticker,volume,open,close,high,low
BCC,248274,61.68,61.99,62.565,61.41
CLDX,882958,35.03,34.78,35.81,34.39
TRND,2084,26.73,26.7662,26.7662,26.7201
BFS,47818,37.15,37.25,37.68,36.885
NHTC,8284,4.9,4.85,4.92,4.85
HIMS,1830853,9.59,9.91,10.11,9.557
ETHO,981,49.9,50.0959,50.0959,49.86
FSBC,37318,21.15,21.3,21.35,21
IPAY,19344,40.26,40.06,40.3,39.94
STLD,1168999,110.58,109.23,111.6801,108.91
CEPU,295494,5.67,5.7,5.8,5.58
BKSY,376877,1.41,1.37,1.41,1.36
CAC,48232,37.54,37.75,37.915,37.17
BACK,401789,0.16,0.151,0.16,0.15
THCH,132609,3.52,3.45,3.5711,3.43
SPCE,6937554,4.04,3.9,4.09,3.815
DM,1666843,2.07,2.09,2.15,2.05
IIGV,265,23.06,23.08,23.08,23.06
IAI,63648,89.29,89.29,89.41,88.63
AOSL,193321,25.64,25.62,25.72,25
IMNN,6173,1.38,1.33,1.38,1.32
ADMP,743019,0.1199,0.115,0.1242,0.1118
BBAX,163318,48.12,48.23,48.3082,48.04
BCAN,16771,2.22,2.24,2.28,2.22
GWRE,380125,76.3,76.44,76.735,75.81
FLTB,8763,48.67,48.4,48.67,48.35
CFGpE,77463,20.28,20.06,20.47,19.99
ATAI,1791732,1.4,1.33,1.41,1.3
RNRpF,4221,21.88,21.85,21.99,21.82
BSJN,217663,23.44,23.435,23.46,23.423
KPLTW,7458,0.0918,0.069601,0.0918,0.062999
SPNTpB,31714,22,21.6,22,21.6
SMMV,43048,33.96,34.14,34.1983,33.93
CDAK,12021331,0.1952,0.19,0.21,0.165
TRUP,1212683,38.4,37.64,40.07,37.55
CHSCO,17496,25.69,26,26.04,25.69
AMTB,69688,22.26,22.25,22.4,21.99
CAT,1801975,218.15,220.16,220.56,217.71
OCCI,13904,9.12,9.12,9.14,9.06
PRO,89772,25.48,25.8,25.93,25.44
TIGO,88117,18.24,18.09,18.33,18.03
IYR,5155837,80.01,80.32,80.76,79.75
TNPpD,7628,24.64,24.69,24.755,24.55
IMRX,50073,10.33,9.38,10.69,9.3
EELV,261806,23.17,23.21,23.24,23.17
MNKD,1549361,4.03,4.01,4.08,3.975
WOOF,4466267,7.95,8.47,8.475,7.945
HTFC,3500,23.95,24.2,24.2,22.85
IZM,86175,3.46,3.27,3.46,2.96
FEZ,835367,43.12,43.21,43.3099,43.05
ZEUS,87565,51.36,50.63,52.24,50.51
ERF,1187123,14.23,14.36,14.62,14.19
APCA.WS,1245,0.11,0.1109,0.1109,0.11
RGR,60472,55.27,55.69,55.75,55.2
SDOW,7030935,28.46,28.5,28.7692,28.09
SIX,941918,24.39,24.36,24.87,24.265
OLPX,1766005,3.97,4.01,4.08,3.95
MOAT,447473,70.8,70.82,70.99,70.4
ZNTL,383253,17.51,16.92,17.92,16.88
ACA,243860,60.52,61.37,61.58,60.52
FSM,4508565,3.59,3.74,3.75,3.54
EM,84234,1.12,1.0284,1.13,1
DAVA,128479,65.24,63.84,65.815,63.76
YELL,712519,1.98,1.875,1.99,1.87
YSG,1303891,1.46,1.45,1.48,1.4
ETY,147291,11.4,11.35,11.4,11.32
EMD,79074,8.57,8.45,8.59,8.45
MCBS,17615,17.06,16.92,17.235,16.82
SESG,372,39.24,39.3911,39.3911,39.24
GPK,3184423,24.84,25.15,25.165,24.72
FEN,91554,12.34,12.57,12.5899,12.34
EOI,66726,14.91,14.85,14.93,14.75
WCCpA,12392,26.82,26.71,26.99,26.65
DSTL,41186,41.78,41.79,41.855,41.59
SGML,2212233,35.99,36.95,39.04,35.42
TYO,49476,12.26,12.21,12.3,12.197
VIGI,213572,71.86,71.99,72.0035,71.73
CHD,908585,86.3,86.4,86.75,86.07
JPEM,22169,49.97,49.96,50.0599,49.89
AAIC,65169,2.73,2.67,2.77,2.67
SLDP,1036592,2.78,2.78,2.835,2.72
SHOP,8872483,44.98,44.31,45.39,44
AGCO,474492,128.72,129.18,130.18,127.91
HVT,95860,31.17,31.3,31.86,31.02
AVRO,504794,1.1,1.05,1.18,1.03
DTEA,174525,0.5253,0.5175,0.5253,0.51
CVI,1207795,31.16,32.32,32.455,31.16
MBB,1243961,94.15,94.14,94.37,94.06
AMBA,372385,76.58,74.36,76.58,73
CRAI,80637,108.74,109.35,109.88,107.56
BSGM,335495,1.13,1.08,1.1985,1.05
MANU,1485229,22.22,22.47,22.82,21.97
TRKA,30345101,0.213,0.2,0.2212,0.1972
CRDO,2047460,8.83,8.88,8.95,8.69
MIXT,4812,7.89,8.19,8.2,7.89
SBI,2870,7.84,7.84,7.84,7.8102
EPC,322128,41.86,42.25,42.36,41.65
ERH,12553,10.23,10.38,10.448,10.23
SARK,911701,43.02,43.58,43.81,42.8